Class,F1_score_tfidf,F1_score_w2v,F1_score_fasttext,F1_score_wtw2v,Winner
alt.atheism,0.32,0.49,0.57,0.47,Fasttext
comp.graphics,0.66,0.61,0.61,0.59,TF-IDF
comp.os.ms-windows.misc,0.69,0.58,0.64,0.56,TF-IDF
comp.sys.ibm.pc.hardware,0.65,0.57,0.62,0.55,TF-IDF
comp.sys.mac.hardware,0.73,0.59,0.68,0.53,TF-IDF
comp.windows.x,0.8,0.67,0.75,0.66,TF-IDF
misc.forsale,0.81,0.72,0.76,0.68,TF-IDF
rec.autos,0.8,0.71,0.7,0.68,TF-IDF
rec.motorcycles,0.8,0.69,0.71,0.68,TF-IDF
rec.sport.baseball,0.88,0.85,0.81,0.81,TF-IDF
rec.sport.hockey,0.89,0.9,0.87,0.84,W2V
sci.crypt,0.75,0.73,0.78,0.72,Fasttext
sci.electronics,0.71,0.61,0.64,0.6,TF-IDF
sci.med,0.85,0.81,0.78,0.81,TF-IDF
sci.space,0.82,0.77,0.76,0.75,TF-IDF
soc.religion.christian,0.51,0.71,0.74,0.7,Fasttext
talk.politics.guns,0.73,0.65,0.68,0.65,TF-IDF
talk.politics.mideast,0.8,0.8,0.8,0.76,"TF-IDF,W2V,Fasttext"
talk.politics.misc,0.4,0.57,0.57,0.54,"W2V,Fasttext"
talk.religion.misc,0.03,0.15,0.44,0.14,Fasttext
